student_id,stress_level,cognitive_performance,number sequences marks,perimeter marks,ratio marks,fractions/decimals marks,indices marks,algebra marks,angles marks,volume and capacity marks,area marks,probability marks,recommended_lesson
S00026,High,Average,5,4,5,6,5,3,3,4,4,2,probability 
S00027,Medium,High,8,7,8,5,7,5,5,6,5,6,fractions/decimals 
S00028,Medium,Low,4,6,5,4,5,4,3,3,2,6,area 
S00029,High,Average,1,2,1,5,5,2,5,4,4,1,number sequences 
S00030,Low,Average,5,4,5,3,3,2,5,2,3,5,algebra 
S00031,High,Low,1,4,4,3,0,2,2,4,1,0,indices 
S00032,Medium,Low,7,7,4,6,3,6,4,4,3,4,indices 
S00033,Low,Average,9,9,5,7,8,5,7,9,7,9,ratio 
S00034,Medium,High,5,8,7,8,6,8,5,6,5,6,number sequences 
S00035,Medium,High,4,4,6,7,7,6,6,6,3,3,area 
S00036,Low,High,8,10,10,10,9,10,10,8,10,7,probability 
S00037,High,High,2,3,4,2,5,6,6,6,5,3,number sequences 
S00038,High,High,7,9,5,8,5,7,9,6,6,9,ratio 
S00039,Medium,Very High,3,2,3,4,3,6,2,6,6,6,perimeter 
S00040,Medium,High,5,2,6,4,2,4,2,2,5,2,perimeter 
S00041,High,Low,3,1,2,0,4,2,1,2,0,0,fractions/decimals 
S00042,High,Low,0,1,0,3,4,4,4,1,1,2,number sequences 
S00043,Medium,Average,7,9,5,5,7,9,8,7,6,8,ratio 
S00044,Medium,Average,4,4,5,5,6,7,5,3,4,3,volume and capacity 
S00045,Low,Very High,8,9,10,8,9,9,9,9,8,10,number sequences 
S00046,Low,High,9,5,5,6,8,8,7,7,7,9,perimeter 
S00047,High,Average,6,5,3,5,4,3,5,6,6,4,ratio 
S00048,Medium,Low,5,3,5,3,2,4,5,5,6,3,indices 
S00049,Medium,Average,5,6,6,5,2,2,6,5,5,2,indices 
S00050,High,Low,4,6,4,2,5,3,4,5,2,6,fractions/decimals 
S00051,Low,Average,4,7,4,4,5,7,4,4,4,6,number sequences 
S00052,High,High,5,5,3,6,7,7,6,5,5,3,ratio 
S00053,Low,Very High,6,8,7,7,7,7,7,8,7,8,number sequences 
S00054,Low,Very High,10,8,9,10,9,7,10,7,10,8,algebra 
S00055,Low,High,5,6,5,8,5,7,5,9,8,9,number sequences 
S00056,Medium,Average,5,7,5,7,8,7,8,9,6,7,number sequences 
S00057,Low,High,9,8,8,10,6,7,9,8,9,10,indices 
S00058,Medium,Very High,3,3,5,5,5,3,4,2,2,2,volume and capacity 
S00059,High,Low,2,0,2,2,2,2,0,0,2,0,perimeter 
S00060,High,Low,1,0,2,1,0,2,0,0,2,0,perimeter 
S00061,High,Low,3,2,1,1,1,1,4,2,0,4,area 
S00062,High,Average,4,2,1,3,4,4,1,1,2,2,ratio 
S00063,Medium,Low,4,4,3,4,5,2,5,5,3,3,algebra 
S00064,Low,Low,5,8,7,9,9,8,6,9,8,5,number sequences 
S00065,High,High,7,5,8,4,6,7,5,5,4,6,fractions/decimals 
S00066,Medium,Average,5,4,3,7,4,4,7,7,5,5,ratio 
S00067,Low,High,9,9,10,8,10,10,10,10,8,7,probability 
S00068,Low,Very High,5,9,5,7,6,5,7,7,8,5,number sequences 
S00069,Low,Low,7,6,8,4,6,4,6,6,7,5,fractions/decimals 
S00070,Medium,Average,7,9,6,5,6,7,5,8,8,8,fractions/decimals 
S00071,High,Low,4,4,1,0,1,3,2,2,2,0,fractions/decimals 
S00072,High,High,5,6,7,9,6,7,7,6,5,9,number sequences 
S00073,Medium,Low,9,6,9,9,7,8,6,8,7,9,perimeter 
S00074,Medium,High,6,4,5,7,5,4,7,7,5,7,perimeter 
S00075,Medium,Low,3,5,4,6,2,5,3,2,3,3,indices 
S00076,Medium,Low,6,8,6,6,7,6,6,8,8,6,number sequences 
S00077,High,Average,6,5,5,4,4,5,5,3,6,6,volume and capacity 
S00078,High,High,8,6,4,5,6,6,4,5,8,6,ratio 
S00079,Low,Average,8,9,9,6,9,5,8,5,5,8,algebra 
S00080,High,Low,1,3,0,1,0,3,2,1,4,0,ratio 
S00081,High,Average,5,4,3,5,2,6,5,5,4,5,indices 
S00082,Medium,Average,8,8,8,5,5,8,4,8,4,8,angles 
S00083,High,Average,1,2,1,0,2,2,0,2,0,2,fractions/decimals 
S00084,Medium,Average,6,4,4,7,5,3,7,7,3,4,algebra 
S00085,Low,Average,9,7,8,8,9,6,7,5,8,8,volume and capacity 
S00086,Medium,Average,6,9,9,8,9,6,9,6,7,8,number sequences 
S00087,Medium,Very High,9,6,5,7,6,8,8,9,6,9,ratio 
S00088,High,High,6,7,5,5,5,7,7,3,7,5,volume and capacity 
S00089,High,Average,1,4,3,5,4,2,2,5,5,2,number sequences 
S00090,Low,Very High,8,10,10,7,10,10,7,7,7,10,fractions/decimals 
S00091,Low,Average,8,8,8,8,9,9,5,5,9,5,angles 
S00092,High,Low,0,0,0,0,0,3,0,1,0,0,number sequences 
S00093,High,Average,3,2,6,5,4,3,2,4,4,2,perimeter 
S00094,Low,Average,7,5,8,7,8,8,7,8,8,8,perimeter 
S00095,Low,High,9,9,8,7,8,6,8,7,6,6,algebra 
S00096,Medium,Average,5,3,6,4,7,7,3,5,5,3,perimeter 
S00097,High,Average,2,2,2,3,1,2,5,4,3,2,indices 
S00098,Medium,High,5,8,7,5,8,7,8,7,8,8,number sequences 
S00099,Low,High,9,8,10,8,10,10,9,8,10,8,perimeter 
S00100,Medium,Average,5,2,2,2,3,2,2,2,4,3,perimeter 
S00101,Medium,Very High,8,8,8,5,7,8,4,8,7,8,angles 
S00102,High,Low,6,4,3,4,3,5,6,2,5,5,volume and capacity 
S00103,Medium,Average,7,3,6,4,7,6,5,7,3,3,perimeter 
S00104,Low,Very High,6,7,7,6,9,10,9,10,9,8,number sequences 
S00105,Medium,Low,4,4,4,4,5,3,7,4,7,7,algebra 
S00106,Low,High,10,8,9,6,8,8,7,9,6,6,fractions/decimals 
S00107,Low,High,7,8,9,7,10,10,8,10,10,8,number sequences 
S00108,Low,High,9,10,6,9,6,8,7,9,9,6,ratio 
S00109,Medium,Average,5,8,9,6,9,9,9,8,5,8,number sequences 
S00110,Medium,Low,6,4,2,4,6,5,6,4,6,5,ratio 
S00111,Medium,Average,5,3,4,2,5,5,3,3,3,3,fractions/decimals 
S00112,High,Low,3,3,2,5,5,6,6,5,6,4,ratio 
S00113,Low,High,10,10,10,6,6,10,6,8,10,7,fractions/decimals 
S00114,Low,High,8,7,5,5,5,7,9,7,6,6,ratio 
S00115,Low,High,7,7,8,6,8,8,6,7,6,9,fractions/decimals 
S00116,Medium,High,7,5,7,6,6,6,4,8,6,5,angles 
S00117,Medium,Average,4,3,6,2,3,4,4,4,3,2,fractions/decimals 
S00118,Low,Average,5,4,6,6,3,6,4,6,3,7,indices 
S00119,Low,Very High,10,6,6,7,10,10,9,6,6,6,perimeter 
S00120,Low,Average,4,6,3,4,7,7,4,6,5,4,ratio 
S00121,Medium,High,8,7,7,8,4,6,8,5,6,7,indices 
S00122,High,High,7,5,8,6,9,8,5,6,5,9,perimeter 
S00123,Low,High,9,6,7,6,6,9,6,9,6,5,probability 
S00124,High,Low,2,1,3,1,2,4,0,2,3,4,angles 
S00125,Medium,Average,4,7,4,7,4,5,7,6,8,7,number sequences 
S00126,High,Average,3,3,1,0,0,0,1,1,1,2,fractions/decimals 
S00127,Medium,Average,6,4,3,7,3,6,6,5,5,5,ratio 
S00128,Medium,High,4,5,5,6,2,3,5,2,3,3,indices 
S00129,Medium,Very High,5,7,5,6,8,5,5,6,6,6,number sequences 
S00130,Low,Very High,6,8,10,8,10,8,9,10,10,8,number sequences 
S00131,Low,Average,4,5,6,8,5,4,6,7,7,7,number sequences 
S00132,Low,High,6,7,7,6,8,5,6,8,9,6,algebra 
S00133,High,Low,5,5,3,3,4,5,1,3,3,4,angles 
S00134,Medium,High,8,4,4,6,8,5,4,5,8,6,perimeter 
S00135,Medium,Low,7,9,6,8,6,9,8,6,7,6,ratio 
S00136,High,Average,0,0,2,3,1,2,0,2,1,0,number sequences 
S00137,High,Low,3,4,1,4,4,3,3,1,0,2,area 
S00138,High,Low,1,4,5,2,4,3,2,5,5,4,number sequences 
S00139,Medium,Low,2,5,3,4,5,3,5,2,3,6,number sequences 
S00140,High,Average,3,0,2,0,0,1,3,0,0,0,perimeter 
S00141,Low,High,8,7,10,7,9,10,9,7,8,10,perimeter 
S00142,Medium,High,8,8,8,8,4,5,4,5,4,4,indices 
S00143,Medium,High,5,8,5,6,9,7,6,8,8,5,number sequences 
S00144,High,Average,1,3,2,2,1,0,0,0,1,3,algebra 
S00145,Low,High,8,8,9,7,9,9,8,8,9,8,fractions/decimals 
S00146,Low,Average,7,9,7,8,9,7,8,6,6,8,volume and capacity 
S00147,Medium,Very High,6,6,5,2,5,5,2,5,5,4,fractions/decimals 
S00148,Medium,High,7,6,7,6,6,4,4,5,5,5,algebra 
S00149,Medium,Average,8,9,6,9,7,9,5,5,9,5,angles 
S00150,Low,Average,3,6,4,4,4,4,5,3,5,2,probability 
S00151,High,High,5,9,6,5,8,8,8,7,6,9,number sequences 
S00152,Medium,Average,3,3,3,7,7,7,5,7,7,6,number sequences 
S00153,Low,Average,5,4,6,4,3,3,5,2,4,2,volume and capacity 
S00154,High,Average,5,1,3,5,4,1,5,1,2,1,perimeter 
S00155,High,Low,1,1,4,4,1,4,4,2,3,3,number sequences 
S00156,Medium,High,3,3,3,6,7,5,7,6,5,4,number sequences 
S00157,High,Low,2,2,6,5,5,5,4,4,3,6,number sequences 
S00158,Medium,Average,4,5,3,6,6,7,5,3,5,4,ratio 
S00159,Medium,Very High,4,6,2,4,6,6,6,6,3,3,ratio 
S00160,High,Low,3,0,4,0,0,4,3,2,0,2,perimeter 
S00161,Low,Very High,8,8,6,9,6,5,7,9,7,8,algebra 
S00162,High,Low,1,3,4,2,0,3,3,3,0,0,indices 
S00163,Medium,Average,7,3,7,5,5,7,5,3,6,6,perimeter 
S00164,Low,Average,6,9,6,7,8,7,7,6,9,7,number sequences 
S00165,High,Low,3,0,1,2,0,0,1,2,0,3,perimeter 
S00166,Low,High,5,6,5,9,7,9,5,7,7,8,number sequences 
S00167,Medium,Average,5,8,7,5,8,5,8,7,8,8,number sequences 
S00168,Medium,Average,8,7,7,7,6,7,4,7,4,7,angles 
S00169,Medium,Low,2,5,2,3,5,4,5,5,3,3,number sequences 
S00170,Medium,Average,5,2,6,2,6,6,2,4,5,5,perimeter 
S00171,High,Low,3,1,4,5,2,1,1,1,3,1,perimeter 
S00172,High,Low,5,1,5,2,4,5,2,1,3,1,perimeter 
S00173,Medium,High,6,6,2,2,3,6,5,5,2,4,ratio 
S00174,Medium,High,7,5,5,6,5,4,7,7,3,7,area 
S00175,Medium,Low,5,8,7,5,7,7,9,8,7,8,number sequences 
S00176,Low,Low,8,8,6,6,8,6,7,5,5,6,volume and capacity 
S00177,Medium,High,8,8,5,5,5,7,9,6,7,8,ratio 
S00178,Medium,Average,3,3,2,2,2,3,4,4,2,3,ratio 
S00179,Medium,High,8,4,8,4,7,8,8,7,7,4,perimeter 
S00180,Medium,Low,4,5,3,2,6,4,2,3,2,5,fractions/decimals 
S00181,Medium,Average,3,3,6,5,6,3,3,6,4,5,number sequences 
S00182,High,High,3,2,2,5,6,5,2,2,3,6,perimeter 
S00183,Medium,Very High,8,9,9,7,8,6,5,6,9,6,angles 
S00184,Low,Very High,7,10,7,10,7,8,10,10,7,9,number sequences 
S00185,High,Low,3,2,4,2,3,4,1,2,1,3,angles 
S00186,Low,High,9,9,7,5,6,8,7,9,6,6,fractions/decimals 
S00187,Low,Average,6,7,6,7,7,7,6,6,6,6,number sequences 
S00188,High,Low,0,0,0,3,0,3,3,1,0,0,number sequences 
S00189,Low,High,7,7,6,5,9,9,8,7,8,5,fractions/decimals 
S00190,High,Low,1,0,3,0,0,3,1,1,0,1,perimeter 
S00191,Medium,Low,5,5,7,5,6,5,7,6,4,5,area 
S00192,High,Low,3,5,2,4,2,2,2,5,2,5,ratio 
S00193,Medium,Low,6,8,4,6,4,6,4,4,6,8,ratio 
S00194,Low,High,7,5,9,9,9,6,6,7,8,7,perimeter 
S00195,Low,Very High,10,7,10,9,8,8,10,7,7,10,perimeter 
S00196,Medium,Average,7,5,3,5,5,5,5,6,3,6,ratio 
S00197,Medium,Average,7,6,7,3,7,5,5,4,4,4,fractions/decimals 
S00198,Low,Very High,7,10,8,8,7,8,7,10,10,10,number sequences 
S00199,Low,Low,7,7,7,7,5,5,4,6,7,4,angles 
S00200,Medium,Low,9,9,5,8,6,8,8,8,7,5,ratio 
S00201,Low,Very High,7,7,8,7,6,6,8,6,7,10,indices 
S00202,Low,Average,8,4,5,6,6,7,8,7,5,8,perimeter 
S00203,Low,High,7,6,7,7,9,5,8,6,6,9,algebra 
S00204,Low,High,6,7,5,6,7,8,7,9,8,5,ratio 
S00205,High,Average,0,3,3,0,3,0,0,3,1,0,number sequences 
S00206,Low,Low,8,7,6,9,5,5,6,6,7,7,indices 
S00207,Medium,High,6,5,5,4,3,5,5,3,5,4,indices 
S00208,Medium,High,8,8,5,5,5,7,6,9,7,9,ratio 
S00209,Low,Average,7,8,6,5,4,5,8,4,8,7,indices 
S00210,Medium,Average,6,6,2,5,6,2,5,4,5,4,ratio 
S00211,High,Low,2,2,1,4,0,2,2,3,1,4,indices 
S00212,Low,Average,8,7,5,9,6,8,5,9,6,5,ratio 
S00213,High,Low,2,6,4,2,3,6,6,5,2,2,number sequences 
S00214,High,High,7,3,5,3,3,4,3,6,7,3,perimeter 
S00215,Medium,Average,5,6,5,5,6,4,8,6,8,6,algebra 
S00216,High,Average,4,2,3,2,2,2,1,4,0,3,area 
S00217,High,Low,3,5,4,6,6,2,4,5,6,5,algebra 
S00218,Low,High,7,8,8,9,6,9,9,7,8,6,indices 
S00219,High,High,8,7,6,5,6,7,8,7,5,4,probability 
S00220,Medium,High,6,7,5,7,6,7,6,7,3,5,area 
S00221,Medium,High,4,4,5,4,4,2,3,4,2,3,algebra 
S00222,Medium,Average,6,5,8,6,9,5,7,9,5,7,perimeter 
S00223,Medium,Low,4,7,5,4,3,5,4,6,3,6,indices 
S00224,High,Average,2,3,5,5,3,3,4,5,4,4,number sequences 
S00225,High,Average,3,3,3,1,2,3,3,5,1,3,fractions/decimals 
S00226,Medium,High,4,7,4,7,4,7,3,6,7,3,angles 
S00227,Medium,High,6,6,4,3,3,7,5,3,3,3,fractions/decimals 
S00228,High,Low,3,4,2,5,2,3,4,4,3,5,ratio 
S00229,Medium,Average,5,3,4,5,2,3,3,4,3,2,indices 
S00230,High,High,5,2,2,3,3,6,4,2,5,4,perimeter 
S00231,Medium,Low,3,4,2,6,2,3,2,5,4,5,ratio 
S00232,High,Low,0,3,1,0,0,0,0,1,3,1,number sequences 
S00233,Medium,Very High,5,5,4,4,6,5,5,5,4,4,ratio 
S00234,Low,Average,8,7,7,5,7,7,6,8,8,9,fractions/decimals 
S00235,Low,High,6,5,6,7,8,5,5,7,7,7,perimeter 
S00236,Medium,High,5,3,2,6,4,5,2,4,5,6,ratio 
S00237,High,High,5,6,6,9,5,7,5,9,6,5,number sequences 
S00238,High,Low,6,2,5,3,4,6,3,3,3,2,perimeter 
S00239,High,Average,4,4,2,6,4,4,5,6,6,2,ratio 
S00240,Medium,Low,7,4,3,7,4,7,5,7,7,5,ratio 
S00241,High,Average,1,3,0,0,0,0,0,0,0,3,ratio 
S00242,Medium,Very High,6,2,6,6,6,5,3,6,2,6,perimeter 
S00243,Low,High,10,8,7,9,8,10,8,10,8,6,probability 
S00244,Medium,Average,6,6,6,6,5,3,3,4,4,3,algebra 
S00245,Low,High,10,9,7,7,10,10,8,7,10,7,ratio 
S00246,High,Average,0,0,3,0,1,0,3,0,1,1,number sequences 
S00247,High,Average,4,3,2,3,4,3,2,5,4,4,ratio 
S00248,Medium,Low,6,5,6,5,7,6,8,7,7,5,perimeter 
S00249,Low,Very High,9,8,6,6,6,5,6,9,7,9,algebra 
S00250,High,Average,4,6,2,6,3,6,6,3,6,4,ratio 
S00251,Medium,High,4,6,3,4,5,6,3,2,6,6,volume and capacity 
S00252,Low,Average,4,5,5,7,8,6,6,4,5,4,number sequences 
S00253,Low,Average,6,7,5,6,7,5,6,4,8,8,volume and capacity 
S00254,Low,Very High,5,5,5,8,5,8,5,6,9,7,number sequences 
S00255,Medium,Average,6,4,3,4,4,5,6,3,3,6,ratio 
S00256,High,Average,6,3,5,3,2,2,5,5,3,5,indices 
S00257,High,Low,2,0,3,3,0,0,0,3,1,2,perimeter 
S00258,Medium,High,3,4,5,6,6,4,6,4,6,2,probability 
S00259,High,Average,3,2,4,2,5,1,4,2,5,1,algebra 
S00260,Medium,Low,8,6,4,7,6,8,8,8,6,6,ratio 
S00261,High,Low,1,1,1,2,0,3,0,0,1,0,indices 
S00262,Low,High,10,9,8,10,8,7,9,8,10,8,algebra 
S00263,High,Low,4,0,2,1,2,0,1,3,4,3,perimeter 
S00264,High,Low,3,0,2,0,2,2,0,2,0,0,perimeter 
S00265,Medium,High,7,8,5,8,8,9,5,8,8,8,ratio 
S00266,Low,Average,8,8,5,7,6,5,6,8,5,8,ratio 
S00267,Medium,High,9,7,5,8,9,7,8,7,9,6,ratio 
S00268,Low,Average,7,3,3,6,6,5,7,5,6,6,perimeter 
S00269,Medium,Low,7,8,9,7,8,7,7,7,8,9,number sequences 
S00270,High,Low,1,5,5,3,5,2,1,1,3,2,number sequences 
S00271,Medium,Average,5,5,4,4,5,4,4,6,7,6,ratio 
S00272,High,Low,2,4,2,2,1,1,1,5,2,3,indices 
S00273,Medium,Average,2,3,2,2,6,3,2,2,6,5,number sequences 
S00274,Medium,High,6,4,6,4,4,8,4,6,8,4,perimeter 
S00275,Low,Average,5,3,3,2,5,2,4,3,2,3,fractions/decimals 
S00276,Medium,Average,5,6,4,6,7,5,5,5,5,5,ratio 
S00277,Medium,High,5,8,9,8,8,9,9,6,8,5,number sequences 
S00278,High,Low,3,2,2,0,2,3,0,1,0,3,fractions/decimals 
S00279,High,High,2,4,6,4,3,2,2,6,4,4,number sequences 
S00280,Low,High,9,9,9,5,9,8,6,6,8,6,fractions/decimals 
S00281,Medium,High,5,6,3,5,5,6,6,6,3,4,ratio 
S00282,Medium,Low,3,3,7,3,7,6,3,5,5,7,number sequences 
S00283,Medium,Average,5,4,3,5,6,6,6,6,5,2,probability 
S00284,High,Average,4,2,4,1,3,2,4,1,0,0,area 
S00285,High,High,4,5,7,4,7,5,5,5,4,7,number sequences 
S00286,Medium,High,7,9,9,5,8,8,6,5,7,6,fractions/decimals 
S00287,Low,Average,9,8,6,8,9,6,5,8,6,7,angles 
S00288,Medium,Very High,6,9,9,5,8,8,9,7,6,9,fractions/decimals 
S00289,Medium,Average,5,6,8,5,8,5,6,8,8,6,number sequences 
S00290,Medium,Low,4,6,6,5,7,5,6,5,5,7,number sequences 
S00291,Medium,High,7,7,4,3,3,5,7,5,5,5,fractions/decimals 
S00292,Medium,Low,6,5,9,7,5,7,6,9,7,8,perimeter 
S00293,Medium,High,5,4,2,5,3,3,4,6,4,2,ratio 
S00294,Low,Average,4,3,6,3,5,2,5,6,4,6,algebra 
S00295,Medium,Average,3,7,7,3,6,3,5,6,5,6,number sequences 
S00296,Low,Very High,10,10,8,10,8,7,8,8,7,8,algebra 
S00297,Low,Very High,8,6,7,6,9,5,5,5,6,6,algebra 
S00298,Medium,Average,6,3,3,6,3,5,2,2,6,5,angles 
S00299,High,Average,3,5,2,2,2,2,6,3,3,2,ratio 
S00300,High,Low,2,1,5,4,3,5,5,3,2,2,perimeter 
S00301,High,Average,2,5,2,6,6,6,6,6,3,5,number sequences 
S00302,Medium,Very High,4,5,5,4,2,3,4,3,2,2,indices 
S00303,Medium,Very High,7,3,7,3,6,7,4,7,5,3,perimeter 
S00304,Medium,High,6,6,5,7,6,4,8,4,5,8,algebra 
S00305,Medium,Average,6,6,5,5,8,6,6,5,7,8,ratio 
S00306,Medium,Low,6,6,4,4,2,2,5,3,2,6,indices 
S00307,Medium,Low,3,3,3,5,3,3,5,2,5,5,volume and capacity 
S00308,Low,Very High,9,7,8,7,9,9,9,8,6,5,probability 
S00309,Medium,Low,3,2,6,6,6,2,2,6,3,3,perimeter 
S00310,Medium,Very High,5,5,5,5,3,5,5,7,5,6,indices 
S00311,Medium,High,5,6,7,6,9,6,9,6,7,8,number sequences 
S00312,High,Average,2,4,6,4,6,5,6,4,6,5,number sequences 
S00313,High,Average,6,5,5,6,4,6,5,2,4,4,volume and capacity 
S00314,Medium,Very High,3,3,3,3,2,6,5,5,6,3,indices 
S00315,Medium,Average,7,8,7,8,6,8,6,8,6,9,indices 
S00316,Medium,Average,6,3,5,2,3,6,5,2,2,2,fractions/decimals 
S00317,Low,Very High,8,10,8,10,7,7,10,7,10,7,indices 
S00318,Medium,Average,8,8,7,6,4,4,6,5,4,5,indices 
S00319,Low,High,7,8,8,9,10,10,9,8,7,10,number sequences 
S00320,Medium,High,4,3,5,6,4,6,6,4,7,6,perimeter 
S00321,Medium,High,5,4,7,3,6,4,5,6,5,7,fractions/decimals 
S00322,Medium,High,5,4,3,6,4,3,2,5,6,3,angles 
S00323,Low,Low,2,6,2,3,3,4,6,6,6,5,number sequences 
S00324,Low,Very High,10,8,10,9,10,10,9,10,10,7,probability 
S00325,Medium,High,7,5,5,7,7,7,7,7,5,6,perimeter 
S00326,Low,Very High,7,10,10,10,10,10,7,9,8,7,number sequences 
S00327,Low,High,10,10,8,7,8,10,8,7,10,10,fractions/decimals 
S00328,Medium,Average,7,4,4,3,3,7,4,4,4,4,fractions/decimals 
S00329,Medium,Low,9,9,5,5,8,5,9,8,9,7,ratio 
S00330,Low,Very High,9,8,8,8,5,6,5,5,8,8,indices 
S00331,Medium,High,3,4,4,2,2,2,2,4,6,2,fractions/decimals 
S00332,Medium,Average,4,6,2,6,3,5,2,2,5,4,ratio 
S00333,High,Average,3,2,1,2,1,1,4,4,4,3,ratio 
S00334,Medium,High,5,5,8,6,8,6,6,6,6,8,number sequences 
S00335,Medium,High,4,6,2,5,2,6,3,3,5,4,ratio 
S00336,Medium,High,5,3,4,4,6,3,4,3,3,2,probability 
S00337,Low,High,8,10,8,9,10,10,8,9,10,8,number sequences 
S00338,Low,Average,7,8,6,6,7,9,8,6,8,5,probability 
S00339,Medium,Average,5,3,3,6,5,3,3,2,6,3,volume and capacity 
S00340,Low,Average,6,5,6,8,7,6,6,9,7,8,perimeter 
S00341,Medium,Average,7,8,5,8,8,6,7,8,6,6,ratio 
S00342,Low,High,6,6,7,7,8,10,10,6,8,10,number sequences 
S00343,High,Average,1,2,2,1,2,4,1,2,4,3,number sequences 
S00344,Low,High,8,5,6,8,8,8,7,7,7,8,perimeter 
S00345,Low,Average,7,6,5,7,8,7,8,5,8,7,ratio 
S00346,Medium,High,6,5,6,5,5,2,5,3,3,6,algebra 
S00347,High,High,5,4,5,7,7,6,5,5,5,8,perimeter 
S00348,High,High,7,7,7,6,8,8,6,6,9,5,probability 
S00349,Low,Average,2,3,4,5,4,6,4,5,5,6,number sequences 
S00350,High,Average,0,1,2,4,3,4,3,0,0,3,number sequences 
S00351,High,Low,3,3,3,2,6,2,4,6,4,6,fractions/decimals 
S00352,Low,Low,8,9,7,6,8,9,9,7,8,5,probability 
S00353,Medium,Average,6,6,6,8,8,9,6,7,8,5,probability 
S00354,High,High,5,7,7,8,6,5,8,9,8,7,number sequences 
S00355,Low,High,5,7,7,6,6,7,9,9,5,7,number sequences 
S00356,High,Average,3,3,0,1,3,2,2,1,1,2,ratio 
S00357,Low,High,5,6,5,6,9,8,6,5,5,7,number sequences 
S00358,Low,High,8,7,7,8,9,8,8,9,6,9,area 
S00359,High,Low,2,2,0,3,0,4,1,3,1,1,ratio 
S00360,High,Low,0,4,3,4,3,4,4,4,3,3,number sequences 
S00361,High,Low,0,0,1,1,0,2,0,0,0,2,number sequences 
S00362,Low,Average,6,7,6,4,7,3,7,4,5,3,algebra 
S00363,High,High,5,3,4,3,7,5,3,7,7,7,perimeter 
S00364,High,Average,3,2,2,3,1,4,1,4,1,3,indices 
S00365,High,Low,3,5,4,1,4,2,5,2,2,1,fractions/decimals 
S00366,Medium,High,3,4,5,4,6,5,5,3,4,2,probability 
S00367,Medium,High,4,3,3,3,4,5,7,3,5,3,perimeter 
S00368,High,High,7,3,6,6,6,6,5,3,5,4,perimeter 
S00369,Medium,High,9,6,5,8,8,6,7,8,6,5,ratio 
S00370,High,Average,3,5,2,4,5,1,1,5,3,4,algebra 
S00371,High,Low,3,1,0,3,0,0,0,3,1,1,ratio 
S00372,Low,Average,7,6,5,9,9,5,8,8,7,5,ratio 
S00373,Medium,Average,6,4,8,4,6,5,4,7,6,6,perimeter 
S00374,High,Low,5,1,1,3,3,3,4,4,1,2,perimeter 
S00375,High,Low,3,3,1,1,1,5,2,2,2,2,ratio 
S00376,Medium,High,2,6,4,5,5,6,6,2,5,4,number sequences 
S00377,High,Average,1,2,5,5,3,2,3,1,1,2,number sequences 
S00378,Medium,Average,4,5,3,7,3,3,3,5,7,3,ratio 
S00379,Medium,Average,4,3,3,4,4,2,4,5,6,5,algebra 
S00380,Low,High,7,10,10,10,8,10,10,10,9,10,number sequences 
S00381,Medium,High,6,6,7,5,3,5,4,5,6,6,indices 
S00382,Low,High,7,8,8,6,8,7,9,10,6,10,fractions/decimals 
S00383,Low,Average,5,5,7,8,7,7,8,6,5,5,number sequences 
S00384,Medium,Average,3,2,5,6,2,3,4,6,6,5,perimeter 
S00385,Low,Average,4,5,8,7,6,7,5,8,7,8,number sequences 
S00386,Low,Low,6,6,6,4,7,6,5,3,3,7,volume and capacity 
S00387,Low,Low,5,4,6,4,4,8,7,7,5,7,perimeter 
