No,Age,Male/Female,number sequences marks,number sequences time(s),number sequences duration,number sequences answered,perimeter marks,perimeter time(s),perimeter duration,perimeter answered,ratio marks,ratio time(s),ratio duration,ratio answered,fractions/decimals marks,fractions/decimals time(s),fractions/decimals duration,fractions/decimals answered,indices marks,indices time(s),indices duration,indices answered,algebra marks,algebra time(s),algebra duration,algebra answered,angles marks,angles time(s),angles duration,angles answered,volume and capacity marks,volume and capacity time(s),volume and capacity duration,volume and capacity answered (1),area arks,area time(s),area duration,area answered (2),probability marks,probability time(s),probability duration,probability answered (4),Total,Pre-Marks,Pure math marks (47),Applied math mark (53),No of questions attempted (21),Preferred Study Method,Preferred Lesson,Disliked lesson,fav subject,disliked subject
35,15,F,2,235,159,1,2.1439489874917848,304,351,2,2,160,149,2,5,514,477,2,0.0,1355.027277723753,926,2,6,510,0,1,6,2431,382,2,1,778.7507303650248,158,1,3,1532.5025555700875,0,1,0,1852.376884768897,346,2,23.704032810641618,5,2.1783092028854742,19.5939699831923,15,figures,equations,percentages,sinhala,health
36,15,F,5,98,40,1,4.018092755365522,517,194,2,4,908,182,2,0,1008,586,1,0.0,0.0,162,1,5,0,736,2,12,2178,478,2,2,2428.0,294,1,2,1482.8019745038587,772,2,0,920.5370850744507,339,3,42.11331650329349,35,27.677153167655845,22.117004897572706,21,figures,fractions,set theory,health,tamil
37,14,M,2,40,174,2,2.1576269001064494,110,318,2,11,405,144,2,5,1048,645,1,0.3965076128647904,479.017797088449,511,1,11,429,538,2,0,1459,748,2,0,599.3649549205545,658,1,2,2725.0,0,2,10,2083.7933535810466,123,3,35.90279725046418,23,7.867787369639062,36.98880415384698,12,Only school lessons,probability,percentages,sinala,maths
38,14,M,2,73,165,2,3.212117071428208,110,226,2,6,726,65,2,0,179,551,2,0.7718624962735985,171.59230536965913,347,1,4,1281,220,2,7,1053,72,2,0,1597.7243032958522,702,1,1,1502.6364439222086,465,1,0,233.54027218613828,0,2,38.07645988601366,37,21.192155676744296,16.991830243375848,16,practicing,Tessellation,decimals,sinala,tamil
39,14,M ,2,337,162,2,2.2835936047551533,110,290,2,7,636,111,1,2,296,661,1,0.0,1369.0009669400622,155,1,7,2036,315,2,4,1393,512,2,1,59.9062544759754,691,1,2,1988.8152021166754,598,2,4,2276.082032783098,13,3,46.471133444397154,20,28.5,14.620654690013314,15,figures,decimals,set theory,science,tamil
40,15,F,2,40,164,2,2.809972062690247,696,196,2,5,533,63,2,11,430,431,1,0.5876808748943589,1663.2361525825795,7,1,11,1358,205,1,12,2117,494,2,0,90.40184867940138,67,1,0,1981.2665501203564,428,2,0,1522.6615002493127,252,1,55.31869315776484,78,18.524700026159984,23.171374948200977,16,figures,set theory,volume and capacity,buddhism,health
41,14,F,3,145,40,2,5.0,631,56,2,9,160,130,2,4,1623,0,2,0.8833896764334146,0.0,501,2,4,1581,160,1,11,930,627,2,2,0.0,299,1,3,1195.081072448284,702,1,4,1159.009079878464,510,1,22.907965266784323,5,28.5,13.12288269261398,17,figures,equations,triangles,sinhala,sinhla
42,14,M,5,40,145,2,3.7353762029819255,347,418,2,1,239,131,2,0,416,325,2,0.0,1526.5570075775727,0,2,1,370,221,1,13,2431,810,2,0,1509.1967936616088,632,0,0,1408.5502516812605,417,2,8,2435.0,263,0,41.94665602809036,Ab ,16.84415239790128,22.526335533810936,21,figures,equations,triangle theory,civics,buddhism
43,15,M,2,188,215,2,4.01157532021695,306,102,2,11,324,247,2,0,1274,127,2,1.313459034830295,482.8657803374057,0,1,0,1769,334,1,1,1463,392,2,0,1209.0326434926653,290,1,0,735.8881801145399,674,2,4,0.0,372,1,62.5,9,28.5,28.104951289452877,18,Only school lessons,fractions,simultaneous equations,history,science
44,14,F,2,238,105,2,3.4480067676084323,419,177,2,11,327,195,2,7,825,647,1,0.0,818.7685000898044,64,2,2,738,0,2,6,1100,93,2,3,712.2875519884592,536,1,2,1631.2033987372392,377,2,4,1442.8138569995235,386,4,8.998034247008938,35,20.01268681532961,25.414641382209656,21,practicing,perimeter,area,health,english
45,15,M ,2,65,88,2,4.083268881434066,445,162,2,7,219,47,1,2,427,728,2,1.6861253520367327,0.0,414,2,0,0,611,2,9,1265,585,2,2,1910.3970965270946,113,1,5,1660.2768806151416,478,2,0,1155.5108936786837,158,3,27.02547683642759,18,17.209256910230774,22.162984725852382,16,practicing,Tessellation,volume and capacity,none,PTS
46,15,M,5,165,40,2,5.0,622,56,2,2,839,205,2,5,391,79,2,1.2672422557107708,825.8427618526039,459,2,7,0,487,1,0,2067,709,2,0,408.9949746676698,0,0,2,1666.892233622005,987,2,4,423.99751009220313,192,1,56.86058988243947,7,17.068943024078244,19.596069558708958,21,figures,probability,simultaneous equations,sinala,science
47,15,M,4,129,77,2,2.045173793835116,203,56,2,3,344,126,2,6,1168,416,2,1.182005703349916,907.7631939287593,571,1,7,0,264,2,6,1406,109,2,0,850.9170080972883,82,1,3,802.6434444254248,0,2,1,1340.323832214111,42,3,28.19732965079644,10,26.9789999640484,11.789982288191961,18,figures,fractions,decimals,maths,none
48,15,M ,3,96,198,2,3.672191297783709,349,411,1,7,490,57,2,1,622,0,2,1.8730866065687735,359.7439875524648,244,2,4,1117,0,2,8,2431,255,2,2,982.7091102738034,338,1,3,556.6346253328406,674,2,0,964.3310538714902,444,0,56.42087139690111,78,21.231925103449885,9.38247747538898,16,figures,decimals,geometry,dancing,maths
49,13,F,4,180,40,2,4.6115802643814785,230,219,2,6,433,471,2,0,909,544,2,2.2831153876147297,1005.9101614213898,926,1,4,413,491,1,13,1370,330,2,0,2428.0,329,1,1,2283.3445683970363,545,0,2,1863.1296627321453,348,3,25.856489374483413,40,26.949069381886094,18.856685878921454,11,figures,number sequeces,volume and capacity,science,sinhla
50,15,M,2,139,220,2,2.607039728798925,317,244,2,4,160,316,2,0,364,127,2,0.017632551082499337,1060.477483871894,245,0,3,0,426,2,6,2058,649,2,1,1060.1734663870795,0,1,0,760.0664388226179,305,2,4,1578.420862497799,229,3,52.84914069398222,42,2.0,19.338437337552364,19,Only school lessons,equations,geometry,maths,maths
51,13,M,3,146,114,2,3.085487222155798,110,118,2,6,572,252,1,0,137,257,1,0.8790331262249791,763.3025604149777,0,1,5,1080,339,1,5,2225,588,2,2,1503.0643840354267,292,1,1,2101.7704973841523,0,2,1,1252.9253196683585,256,0,26.096828432840923,78,28.5,24.13652223563534,16,practicing,equations,set theory,ict,PTS
52,14,F,4,61,216,2,3.2850755730283745,308,56,2,6,519,15,2,0,1415,1089,1,1.905375673144419,1126.4532950195514,0,2,5,1725,123,2,12,1563,423,2,2,0.0,333,0,0,1507.7104150475204,0,2,1,740.6002589799782,123,4,40.64131047071691,25,4.089000071719452,9.267345318998679,13,practicing,Tessellation,decimals,maths,english
53,14,M ,4,62,190,2,2.1586238866342127,366,252,2,7,603,274,2,6,1007,131,1,0.0,1034.3399315027807,169,1,2,955,204,0,9,1834,391,2,1,1565.6150833765303,212,1,0,1764.287555195327,179,1,1,1082.776401904806,241,1,24.757859296991843,Ab,17.906244172280473,21.915306362666655,19,figures,Tessellation,triangle theory,home science,maths
54,14,F,4,92,257,2,3.6785946394540048,121,202,2,6,651,146,1,7,700,335,1,0.0,2113.3117762348097,434,0,0,1152,0,1,3,707,497,2,0,1768.416835604306,188,0,3,944.789187893536,614,1,1,0.0,482,4,55.12592613737016,15,28.5,7.84477401391139,18,Only school lessons,area,triangles,dancing,english
55,14,M ,4,117,40,2,3.74566972335527,511,167,2,5,382,305,2,9,375,698,2,0.7064169426438953,1549.6677059464305,461,1,4,1599,219,1,12,2118,423,2,2,2428.0,35,0,2,2623.35449136134,959,1,3,398.79947339285445,704,2,21.46747789897165,39,14.531083950593919,11.843496098705934,12,practicing,area,fractions,history,history
56,13,M ,3,267,110,2,4.600278335645138,423,492,2,6,557,200,2,6,984,126,2,0.17138138088193886,554.1870835210038,476,0,5,0,0,1,9,1816,72,2,1,2428.0,330,1,1,1586.7537188467861,527,2,4,202.17542243950197,433,2,60.25501328850816,Ab ,23.012368964236423,35.82692493312541,18,practicing,set theory,geometry,sinala,health
57,13,M ,4,135,40,2,3.4150717152525294,110,349,2,3,214,115,2,1,954,770,1,0.4154038318400836,1720.772609115144,0,2,12,1752,366,0,9,2431,203,2,1,2324.950906167298,462,1,0,1843.3295063515761,821,1,3,2435.0,227,0,33.479280776638454,Ab,13.933367937611255,21.47188348154768,17,Only school lessons,Tessellation,area,civics,history
58,14,M,2,158,122,1,2.372674670362952,510,271,2,7,697,212,2,12,0,581,2,0.3468747036391016,1238.162772020079,432,0,7,1249,569,2,1,1807,633,2,1,955.3888527747483,422,1,2,2662.267626040608,93,1,0,2435.0,298,1,12.3292978594029,23,5.5899937246985445,25.201646169519123,19,practicing,equations,area,civics,none
59,14,F,4,300,213,2,2.730816490822453,119,176,2,4,604,15,2,0,652,71,1,0.22762766549937463,1780.633453985473,0,1,4,1419,208,1,3,1985,885,2,3,452.6278325734023,482,1,0,2156.7048968432296,984,0,1,574.5255638919875,427,2,50.69331823562666,37,17.01884511799987,11.67492839254654,19,practicing,perimeter,triangle theory,ict,history
60,15,M,5,133,66,1,3.155992698630794,232,193,2,11,539,22,2,7,646,579,1,0.41948573222670726,1352.5795476753124,272,1,7,645,138,2,4,1676,325,1,1,801.2214576569314,479,1,0,1714.9818904508772,741,1,2,2435.0,259,4,43.930802018379744,6,28.5,25.003398983487443,21,figures,equations,triangle theory,maths,geography
61,15,M,3,337,257,1,2.3966743437760707,163,334,2,2,251,184,2,0,770,441,2,0.3020938246297331,237.0565575563371,221,0,3,968,128,1,3,1042,357,2,2,179.47226630321472,0,0,2,1527.8318167891782,959,2,1,1383.854329002026,0,4,15.901065803092035,15,16.28329630072966,9.953503888391813,14,figures,equations,probability,buddhism,science
62,14,M,3,198,148,2,3.435866376696478,110,59,2,4,493,118,2,0,1106,347,2,0.0,878.6742174722854,141,1,5,1794,0,1,13,1630,679,2,1,1603.4682993152803,396,1,2,2405.373076221617,844,2,0,0.0,289,1,18.732107739517375,69,11.965066350278956,27.674655578395228,11,practicing,equations,geometry,english,tamil
63,14,M ,2,102,239,2,4.575789749753979,157,229,2,8,593,55,2,8,666,690,2,0.9150710528893788,1967.2345658737524,206,1,8,2036,698,2,13,1971,365,2,0,486.9004647144901,0,1,3,1922.208347537474,0,1,0,2206.044379971295,764,0,32.843255366360765,28,14.839137914374618,18.60399947382319,17,Only school lessons,angles,area,ict,home science
64,13,M ,2,232,69,2,3.3235910138997986,463,126,2,11,200,285,2,0,769,463,2,1.6757444757749131,1234.6774224724472,331,1,1,1091,431,2,6,830,99,2,0,2428.0,0,1,1,1685.4378957001577,587,1,4,2387.7069515506705,0,1,39.57360320948848,2,28.5,13.620771839716252,17,Only school lessons,probability,volume and capacity,ict,history
65,15,M ,2,205,154,1,3.0074991691962136,110,228,2,1,160,281,2,0,620,0,2,0.8558805839658374,498.5644658835223,299,1,12,658,382,2,12,1627,284,2,1,1153.9655993014858,633,1,2,2343.5539159916148,705,2,1,2435.0,381,3,38.42740551676738,78,11.822650531708256,37.0,20,practicing,equations,volume and capacity,civics,maths
66,13,M,2,251,99,2,3.0562355577883653,473,207,2,5,168,281,2,5,1081,297,2,0.0,526.1568666034024,373,2,1,1873,301,1,8,2304,152,2,2,2063.608353581194,10,0,0,1360.7523245360112,0,1,5,2422.3148976588845,382,4,13.674931115560529,9,16.463362363999266,19.568775209269234,13,Only school lessons,area,triangle theory,home science,PTS
67,15,M,2,313,79,2,2.5587634186087413,363,310,2,1,626,336,2,0,142,94,2,0.0,604.2731641087349,159,1,6,0,619,1,11,1214,429,2,0,1386.319240863707,0,1,0,2674.5332468887073,752,2,10,2435.0,442,4,43.650175904060646,39,24.731512625631566,20.581901287313535,13,practicing,angles,decimals,sinhala,history
68,13,M ,3,88,216,2,3.2659555465911185,286,56,2,7,627,290,1,3,632,1034,2,0.3603501604808463,1488.9851043393435,291,1,7,1908,838,2,11,1664,72,2,2,561.3705866099463,691,1,1,634.1927745718313,0,1,3,1329.3973965570656,0,0,13.6168591495343,42,10.375512190654408,33.96507151206441,16,practicing,decimals,none,ict,none
69,15,M ,5,159,90,2,3.3420387166340406,629,210,2,3,485,15,2,4,165,306,2,0.2979963530197607,1658.641237086406,924,1,6,955,369,2,0,1100,311,2,0,352.454066702167,424,1,1,2082.300058342501,508,2,7,601.2992499126999,431,4,48.901161355874514,Ab ,22.7675289833227,23.074241458604746,13,figures,equations,probability,civics,home science
70,14,F,2,200,130,2,2.0,328,230,2,0,167,112,2,6,1035,0,1,0.39715961798728405,0.0,373,0,5,806,323,1,13,1894,712,1,0,1041.5366528864045,901,1,0,633.6922095098851,641,2,1,0.0,37,0,53.470805466820735,69,6.080610232587205,12.043794845392334,10,figures,fractions,set theory,science,PTS
71,14,M ,2,40,272,2,2.1568087008871792,457,88,2,0,483,137,2,5,398,595,2,0.18289185852882742,0.0,368,1,3,1302,0,2,9,1573,712,1,0,1015.0049938155603,207,0,1,1603.290279821142,750,1,3,1763.2535634514131,269,3,42.81292011457488,8,26.056495068755737,18.495153288323543,19,figures,equations,triangle theory,sinala,health
72,14,M ,3,118,227,2,2.0,158,56,2,9,483,229,2,2,1004,271,2,0.08094705910955158,1953.281938374118,367,2,6,1285,377,2,8,1391,660,2,0,1134.7094320682093,693,1,0,2725.0,867,2,4,61.41554028750943,201,3,46.211536179635154,25,25.63347310205365,20.79188679817328,21,Only school lessons,probability,set theory,civics,english
73,14,F,2,67,173,1,2.0,422,156,2,6,583,122,1,8,6,347,1,0.0,705.7039002219551,620,2,2,812,448,1,13,1478,204,2,0,2342.2431208776643,387,0,3,1977.4096769513035,191,2,5,860.4069750694193,0,4,42.045750457524974,35,17.567981835648375,13.522129812145053,19,Only school lessons,area,area,health,maths
74,14,F,3,106,227,2,2.221470275211947,114,156,2,1,657,189,2,6,409,201,1,0.8012086619677964,96.35056574772352,367,0,6,440,0,2,1,2431,72,2,3,2130.795765061549,346,0,2,1016.9849204632542,0,2,3,2044.5929551143763,562,2,53.8801881410938,10,26.01537544980416,24.338649629842937,21,Only school lessons,set theory,probability,health,science
75,14,M ,2,149,197,2,3.2478918437873143,578,56,2,11,329,156,2,5,718,1028,2,0.3094333345824672,1783.9988742107496,457,2,11,1440,363,2,13,2132,72,1,1,1088.3331887471209,166,1,0,1482.9931563891448,623,1,5,101.78764812065242,154,0,53.92974602723938,6,17.631577753479572,5.585911765279382,21,practicing,fractions,fractions,health,science
76,13,M,2,127,253,1,3.1800996301110054,496,56,2,5,879,177,1,5,753,868,1,0.09412076888742402,1067.5611685022443,271,1,9,1344,208,1,5,1640,256,2,0,1812.9897031403689,42,1,0,1908.2844112896798,194,1,4,1003.1424223426257,144,2,43.143833668511384,37,21.85276628112718,16.211058891743217,20,Only school lessons,fractions,triangles,dancing,geography
77,14,M,4,49,138,2,2.0,166,229,2,3,160,213,2,6,1718,290,1,0.0,1315.1662678107505,431,1,8,627,25,2,7,721,838,2,0,923.6803120438785,0,0,0,1265.1779525929708,808,1,3,1529.556634961768,116,0,31.33603242187874,20,26.985308799116446,14.809140606242531,15,Only school lessons,probability,simultaneous equations,health,english
78,13,M,2,167,40,1,2.5862776806879952,687,478,2,9,181,299,1,2,1040,0,2,0.0,295.0571842651284,346,2,5,2036,433,2,9,995,303,2,1,1261.2704648102103,593,0,0,2231.3585080200073,0,2,0,2069.3214290246615,9,1,16.538809598601077,10,26.008932489401666,15.43961866360841,20,practicing,equations,fractions,sinhala,history
79,13,F,3,189,190,1,3.300390099971662,110,91,2,10,443,57,2,1,848,230,1,0.7743544314739548,713.6482004828961,142,2,8,706,126,1,0,1551,72,2,0,669.2625735888347,93,1,4,1941.5873784812943,274,2,8,1743.332665686979,61,2,39.88365832521378,37,22.347270179897627,23.948074164054876,14,Only school lessons,area,triangles,sinala,history
80,15,F,2,150,40,2,5.0,447,241,2,4,455,268,2,1,1568,258,2,0.20523596086716472,1354.0373527168088,334,2,11,908,158,2,13,1727,730,2,1,2067.547850253824,324,1,1,2725.0,0,2,4,762.864336788897,147,3,45.834789180762634,15,8.510199123585421,14.326932545831443,14,practicing,equations,decimals,science,english
81,15,M,5,152,194,2,4.44206382356369,268,90,2,6,785,97,2,2,1010,644,2,0.0,2210.0,318,2,5,1949,309,2,4,2431,186,1,0,499.3206998932443,0,0,4,2073.2736983129425,818,0,8,1109.9331121981543,0,2,15.62731262104673,23,17.917618935879926,19.89725964090791,13,Only school lessons,Tessellation,roman numbers,ict,buddhism
82,13,M ,3,216,106,2,3.4201334438344935,415,122,2,6,198,171,2,0,741,31,2,0.09591908008020614,860.7906344880357,269,1,2,1175,49,2,13,2418,72,2,0,635.3817470530126,344,1,1,2245.110065256692,544,2,5,1784.6850420238713,538,1,62.5,3,6.075074376987869,19.418841410274567,11,figures,set theory,set theory,none,science
83,14,F,2,94,135,1,2.946070024593776,301,235,2,7,369,296,2,1,1368,1389,2,1.202945596853709,1259.3591520863579,551,2,9,1741,347,2,0,897,72,2,3,2428.0,0,1,0,505.47420199914995,777,1,0,0.0,141,4,13.084266422269383,6,6.569533111182297,19.46954580358223,16,figures,angles,triangle theory,sinala,science
84,15,F,4,93,40,2,3.766611381752732,357,83,2,5,160,215,2,2,36,91,2,0.6454826081095865,1168.6180951033466,208,0,0,1467,93,1,10,1711,492,2,3,0.0,0,0,3,792.9007160195492,900,2,5,2435.0,0,4,36.70029232790285,35,28.5,3.0,18,Only school lessons,Tessellation,circle theory,science,home science
